Date	Stock	Contract	Bid-Ask	Intr	Vol	IV	%Diff	Underlying	DailyVolume	Sector
2021-02-24T17:19:59.000Z	$INTC	2021-08-20C$90	$0.75-$0.82		1	256	40.01%	46.03%	$61.63	$20,096	Electronic
2021-02-24T17:12:53.000Z	$WKHS	2021-02-26C$17	$0.48-$0.52		1,030	4,569	263.66%	13.11%	$15.03	$228,450	Producer
2021-02-24T17:05:32.000Z	$HD	2021-02-26C$267.5	$0.22-$0.26		668	17,999	44.45%	5.23%	$254.2	$431,976	Retail
2021-02-24T16:58:26.000Z	$GLD	2021-07-16P$120	$0.18-$0.19		740	5,061	26.86%	-28.86%	$168.67	$93,629	-
2021-02-24T16:49:19.000Z	$SQ	2021-03-12P$220	$3.7-$4.05		93	7,535	61.46%	-9.39%	$242.79	$2,919,813	Technology
2021-02-24T16:42:13.000Z	$RCL	2021-03-05P$90	$1.5-$1.61		204	640	66.69%	-6.56%	$96.32	$99,520	Consumer
2021-02-24T16:33:37.000Z	$RCL	2021-03-19C$115	$1.52-$1.68		168	2,283	73.37%	20.49%	$95.44	$365,280	Consumer
2021-02-24T16:26:32.000Z	$VXX	2021-03-12C$14	$1.43-$1.45		395	2,609	66.58%	-7.04%	$15.06	$375,696	Finance
2021-02-24T16:17:41.000Z	$AMD	2021-10-15P$65	$4.3-$4.45		2	295	48.34%	-22.17%	$83.51	$129,063	Electronic
2021-02-24T16:10:36.000Z	$XOM	2021-07-16C$80	$0.49-$0.55		94	557	39.20%	42.02%	$56.33	$28,964	Energy
2021-02-24T16:02:31.000Z	$HAL	2021-03-19C$23.5	-$0.82Interest:		Volume:	IV:	%	Underlying:	Daily	Sector:	Services
2021-02-24T15:55:26.000Z	$PBR	2021-07-16C$9	$1.05-$1.12		1,776	20,066	57.50%	4.05%	$8.65	$2,177,161	Energy
2021-02-24T15:46:35.000Z	$VIAC	2022-01-21P$72.5	$17.45-$18.45		1	297	50.39%	11.40%	$65.08	$533,115	Consumer
2021-02-24T15:39:30.000Z	$BOX	2021-04-16C$18	$2.1-$2.25		21	262	55.90%	-5.81%	$19.11	$56,985	Technology
2021-02-24T15:30:55.000Z	$UBER	2021-03-12P$49	$0.63-$0.74		55	1,774	56.34%	-9.53%	$54.16	$121,519	Technology
2021-02-24T15:23:51.000Z	$NIO	2021-03-19C$57	$2.76-$2.92		157	722	113.51%	16.26%	$49.03	$205,048	Consumer
2021-02-24T15:15:16.000Z	$MGM	2021-03-05C$43	-$0.38Interest:		Volume:	IV:	%	Underlying:	Daily	Sector:	Services
2021-02-24T15:08:12.000Z	$NIO	2021-03-05P$44	$2.26-$2.35		166	1,360	148.82%	-10.48%	$49.15	$313,480	Consumer
